file,title,source,license,author,credit_required
music_amb_cellar.wav,music amb cellar,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_amb_grove.wav,music amb grove,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_boss_intro.wav,music boss intro,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_boss_loop.wav,music boss loop,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_boss_p2.wav,music boss p2,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_cellar_base.wav,music cellar base,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_cellar_drums.wav,music cellar drums,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_cellar_lead.wav,music cellar lead,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_grove_base.wav,music grove base,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_grove_drums.wav,music grove drums,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_grove_lead.wav,music grove lead,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_shop.wav,music shop,tools/gen_music.gd,original,Bar Moshe (generated in code),no
music_title.wav,music title,tools/gen_music.gd,original,Bar Moshe (generated in code),no
sfx_altar.wav,sfx altar,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_armor_break.wav,sfx armor break,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_bigboom.wav,sfx bigboom,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_bonk.wav,sfx bonk,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_boom.wav,sfx boom,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_bramble_burn.wav,sfx bramble burn,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_burn.wav,sfx burn,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_buy.wav,sfx buy,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_arcane.wav,sfx cast arcane,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_arcane_2.wav,sfx cast arcane 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_arcane_3.wav,sfx cast arcane 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_boom.wav,sfx cast boom,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_boom_2.wav,sfx cast boom 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_boom_3.wav,sfx cast boom 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_chain.wav,sfx cast chain,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_fan.wav,sfx cast fan,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_fire.wav,sfx cast fire,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_fire_2.wav,sfx cast fire 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_fire_3.wav,sfx cast fire 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_ice.wav,sfx cast ice,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_ice_2.wav,sfx cast ice 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_ice_3.wav,sfx cast ice 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_laser.wav,sfx cast laser,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_laser_2.wav,sfx cast laser 2,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_laser_3.wav,sfx cast laser 3,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_missile.wav,sfx cast missile,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_orbit.wav,sfx cast orbit,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_cast_spark.wav,sfx cast spark,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
